,keyword,count
407,taelastika,2
408,beauty,2
409,rosy,1
410,athletics,1
411,sweat,6
412,dre,2
413,fitne,1
414,belly,9
415,look,1
416,slips,11
417,lolalover,1
418,rubber,6
419,shapewear,19
420,6,1
421,hooks,1
422,(for,1
423,women),1
424,thermal,1
425,natural,2
426,size(,1
427,"s,m,l)",1
428,kelly,1
429,contour,1
430,zip,2
431,ess,2
432,velour,1
433,"cl,",1
434,(black,12
435,"01),",4
436,"womens,",5
437,(1324144-602-m),1
438,",black",1
439,loly,1
440,feel,1
441,it,3
442,version,1
443,"nrgy,",1
444,(pink,3
445,"08),",1
446,costume,4
447,slip,10
448,chevron,1
449,freebra,1
450,silicone,10
451,"sweatshirt,",9
452,teal,1
453,"green,",2
454,vntg,1
455,"pant,",3
456,"grey(anthracite/sail060),",1
457,figc,1
458,italia,1
459,fanwear,1
460,hrtg,3
461,black(rose,2
462,"gold/sail/black605),",2
463,indy,4
464,hyp,1
465,f,1
466,"color,",16
467,tima,2
468,response,3
469,3/4,1
470,ar3064-663,1
471,zoogster,2
472,splash,3
473,k-1018-7762,1
474,varsity,3
475,fuel,1
476,orange/reflective,1
477,silv,1
478,suit,10
479,bts,1
480,korea,1
481,d2m,12
482,hr,5
483,78,3
484,"tights,",13
485,(black/glow,4
486,"blue),",4
487,np,9
488,forest,3
489,camo,3
490,"crop,",4
491,black(atmosphere,2
492,grey/thunder,2
493,"grey/black059),",2
494,vintage,1
495,epic,2
496,lux,5
497,pro,2
498,t,1
499,"back,",1
500,"black(black/black/gunsmoke010),",1
501,sd,4
502,farm,4
503,"(blue/white),",1
504,chill,1
505,carbon,1
506,"s18,",1
507,3xl,3
508,charcoal,2
509,"shaper,",1
510,"l/xl,",1
511,hirigin,3
512,dream,1
513,thong,6
514,violet,1
515,tailwind,2
516,nkaa3144-091,1
517,chase,1
518,"women,l,multi",1
519,varsitytight,1
520,"(51707202),",1
521,define,1
522,run,7
523,city,1
524,pck,5
525,"red,",2
526,"ua1309904,",1
527,explosive,2
528,ribbed,1
529,"women,s,pink",1
530,ignite,1
531,wind,1
532,"women,xs,green",1
533,"(bs2890),",1
534,luna,2
535,di,2
536,seta,2
537,trend,1
538,spring,3
539,autumn,1
540,navel,1
541,3d,1
542,digital,1
543,printing,1
544,female,1
545,"polyester,size:xl",1
546,non,1
547,barre,1
548,spa,1
549,anti-skid,1
550,socks,5
551,xtg,1
552,hygroscopic,1
553,releasing,1
554,quick,1
555,drying,1
556,-size,1
557,jacquard,1
558,evoknit,1
559,"women,m,black",1
560,skinny,1
561,clothes,2
562,trousers,1
563,black/white,3
564,tch,4
565,bq7964-010,1
566,length,3
567,dark,4
568,ultimate,1
569,nsp,3
570,10k,2
571,111797,1
572,kl001nbk/allover,1
573,chp6059,1
574,hooded,2
575,coded,3
576,blue/high-vis,1
577,gray/tonal,1
578,cool,1
579,"t,",1
580,myt,4
581,sportstyle,5
582,muscle,3
583,tank7,9
584,yg,1
585,tr,4
586,aero,1
587,"small,",15
588,ss,10
589,"tee,",1
590,"women's,",1
591,font,1
592,perfect,1
593,town,1
594,woman's,1
595,padded,2
596,strap,3
597,elastic,2
598,speed,3
599,black(indigo,1
600,force/thunder,1
601,"grey/black438),",1
602,mid,1
603,rise,2
604,studio,3
605,loose,2
606,"trousers,",1
607,"933436-010,",1
608,fit,1
609,"(51527736),",1
610,sg,1
611,en,1
612,pointe,1
613,q2,1
614,"black,s",1
615,hoody,3
616,stocking,58
617,fusion,3
618,"women,xs,black",2
619,leather,17
620,tastigo,1
621,19,1
622,ua,3
623,(black/fractal,3
624,hprcl,3
625,pinky,2
626,rally,2
627,runner,1
628,"(black/reflective),",1
629,classics,7
630,kick,2
631,flare,2
632,"pants,",10
633,franchise,1
634,111416,1
635,swoosh,9
636,"burgundy,",1
637,favorites,2
638,xxs,2
639,keyhole7,1
640,columbia,6
641,logo7,2
642,whisperlight,11
643,tie,5
644,hoodies,4
645,ann,4
646,chery,4
647,plus,8
648,3,6
649,pieces,2
650,sportsyle,3
651,oversized,2
652,ash,1
653,taupe/metallic,1
654,"xxl,",2
655,moa,2
656,"iris),",1
657,printdress,1
658,"skirt,",3
659,"(black/linen),",1
660,"x-small,",15
661,4-6,15
662,"ar4373-731,",1
663,essentials,4
664,crewneck,1
665,"sweatshirts,",2
666,(medium,1
667,heather/bliss,1
668,knt,1
669,tamscle,1
670,alphaskin,1
671,heather/grey,1
672,four,1
673,f17,1
674,sup,1
675,detail,1
676,branded,2
677,"black(black/black),",1
678,all-in,1
679,irene,1
680,multicolour,11
681,iris/lapis,1
682,blue/bright,1
683,white/true,4
684,"red),",3
685,em006oxgm/spv,1
686,"x-large,",9
687,flow,1
688,"black,l",1
689,lycra,6
690,big,1
691,accessory,1
692,xpressive,10
693,cut,4
694,out,4
695,"white/black,",4
696,expressive,5
697,(dark,4
698,"heather/white),",6
699,unlined,3
700,bralette,6
701,"giftpacks,",1
702,orange,11
703,(pomelo,1
704,"fpq),",1
705,"bras,",2
706,(raspberry,1
707,jam,1
708,"2xv),",1
709,robes,9
710,silk,7
711,111361,3
712,shaping,2
713,cropped,7
714,16-18,5
715,3-stripes,4
716,7/8,2
717,"tight,",3
718,"black/white,",4
719,rr,1
720,34,3
721,party,1
722,crimson,1
723,tint/metallic,1
724,"silver,",1
725,2xu,2
726,"black/blue,",1
727,racer,3
728,lx,1
729,black/(reflective,1
730,"silv),",1
731,originals,3
732,brklyn,1
733,heights,1
734,wide,4
735,leg,3
736,bermuda,1
737,(jet,1
738,"grey/reflective),",1
739,tasha,1
740,"polo,",1
741,(bright,9
742,"white),",14
743,shirt,1
744,play,4
745,up,8
746,"2.0,",1
747,xxs7,1
748,black(black/black/cool,1
749,"grey010),",1
750,k-1022-w981,2
751,fishnet,6
752,pantyhose,5
753,8974,1
754,8933b,2
755,606w,1
756,8520,1
757,woman,2
758,lemon,1
759,7082,1
760,stockings,1
761,6610b,1
762,summer,2
763,pajamas,3
764,9102,1
765,8933w,1
766,6610),1
767,8507r,1
768,8302w,1
769,8-10,6
770,flora,1
771,(light,3
772,melange/bright,2
773,x-large,21
774,"smoke,",1
775,impulse,2
776,pink/metallic,1
777,noreen,1
778,white/fiesta/whitecap,1
779,"gray),",2
780,juna,2
781,track,9
782,"jacket,",6
783,(black/bright,5
784,nery,2
785,nk,1
786,"(nk890351),",1
787,favorite,1
788,crop-gry,1
789,(steel,1
790,"heather/black),",1
791,steel,2
792,heather/white/tonal,1
793,"ua1333203-521,",1
794,dy4071,1
795,heather/metallic,1
796,emily,1
797,"dress,",4
798,motion,6
799,climacool,2
800,(legend,6
801,"ink/white),",5
802,n,2
803,lite,2
804,ssv,1
805,quad,1
806,squad,1
807,brilliant,4
808,basics,3
809,(tech,1
810,3stripes,1
811,single,1
812,enhanced,2
813,ink/tech,1
814,"ink),",1
815,dance,6
816,suite,6
817,solid7,1
818,maxi,2
819,piece,2
820,with,8
821,eye,1
822,mask,1
823,bodystocking,3
824,8993,2
825,in,1
826,shoulder,4
827,6108,1
828,1011w,1
829,bodysuits,2
830,hdl24b,1
831,"bodysuits,xxl",1
832,8806,1
833,8996,1
834,briefs,3
835,silvy,4
836,of,5
837,-multi,4
838,cap,1
839,slv,1
840,"women,xl,peach",1
841,sprt,2
842,dstrt,2
843,heat,2
844,gear,1
845,nike-nk829747-093-vast,1
846,grey/vast,1
847,"grey/white-apparel-womens-s,",1
848,"ar3052-121,",1
849,sweatpant,1
850,paddi,1
851,"fs17,",1
852,tiffany,1
853,wo,4
854,solid,1
855,(semi,1
856,"coral/white),",1
857,racerback,1
858,vest,2
859,1pc,1
860,stretch,2
861,zumba,1
862,zia,5
863,bermudas,1
864,belt-waist,1
865,"belt,blue",1
866,activewear,2
867,leggins,1
868,high,4
869,push,4
870,mandala,1
871,cross,1
872,pink/crystallize,1
873,underwear,3
874,8302,1
875,v,5
876,elegant,2
877,home,4
878,8507,1
879,chaia,1
880,silk-like,2
881,gorgeous,2
882,raykal,1
883,pull,1
884,bear,1
885,con,1
886,cup,2
887,clara,2
888,"(honeysuckle),",2
889,"(em006oxgm),",1
890,"(rhubarb/fiesta),",1
891,bronte,1
892,"maroon/black),",5
893,nova,2
894,authentic,2
895,"blk),",1
896,1,3
897,backless,4
898,h3125,1
899,k-006,1
900,underbust,3
901,k-1018-7773,1
902,adhesive,6
903,5,2
904,"set,",1
905,wear,1
906,problue,1
907,diving,2
908,coffee,2
909,winter,1
910,taranj,1
911,high-rise,3
912,grey(dark,1
913,skinsuits,1
914,knitwear,2
915,steph,1
916,evostripe,1
917,"rosewater,",1
918,rebel,1
919,(rosewater,1
920,"17),",1
921,sleeveless,4
922,chiara,1
923,stripes,3
924,animal,1
925,power,1
926,flutter,1
927,to,1
928,exposed,2
929,short7,2
930,futura,2
931,wash,1
932,sail,1
933,barely,1
934,paneled,1
935,polytight,1
936,"dy8085,",1
937,"cobalt,",1
938,ready,1
939,supremium,1
940,2.0,7
941,bl,1
942,lightgrey,1
943,"03),",3
944,boy,1
945,pb,1
946,script,3
947,ssc7,4
948,10,1
949,-12,1
950,us,2
951,bella,1
952,"red/black),",1
953,heather/purple,1
954,ace,1
955,legend,2
956,ivy/clear,1
957,mint,2
958,mtlc,1
959,swsh,1
960,5in,1
961,"(salmon),",1
962,4,2
963,"vineyard,",1
964,(purple,1
965,"ar3054-063,",1
966,rock,2
967,freya,1
968,os,2
969,bold7/8,1
970,sh,1
971,ice,1
972,"dy8172,",1
973,(white/copper,1
974,"met.),",2
975,longsleeve,3
976,teresa,1
977,4keeps,1
978,white-metal,1
979,"splash,",1
980,fl,1
981,talli,1
982,"(marina),",1
983,onyx,1
984,white/black,1
985,rival,2
986,"hoodie,",1
987,pink/peach,1
988,"plasma),",1
989,lux3/4,1
990,cb,1
991,pe,1
992,"dy8162,",1
993,"black/emeral,",1
994,y,1
995,hero,1
996,strapy-cloudedcamo,1
997,"wasind,",1
998,incl.,2
999,sizing,2
1000,"(black/white),",2
1001,2x,1
1002,pack,2
1003,111368,2
1004,grx,2
1005,"fuchsia,",1
1006,three,2
1007,hot,1
1008,sharpers,1
1009,"yellow,",2
1010,comfortable,2
1011,transparent,2
1012,nightdress,3
1013,flannel,1
1014,polyamide,2
1015,lilyette,1
1016,finetoo,1
1017,smoothens,1
1018,panty,2
1019,hosiery,1
1020,rtg,2
1021,layer,1
1022,"02,",1
1023,rita,1
1024,sweater,1
1025,(black/semi,1
1026,"coral),",1
1027,"parchmen,",1
1028,"23),",1
1029,"black(white/black/black100),",1
1030,rib,3
1031,"rose,",1
1032,"14),",1
1033,silver(tropical,1
1034,twist/reflective,1
1035,"silv307),",1
1036,avow,1
1037,stride,1
1038,feather,1
1039,curve,1
1040,"semcor/white,",1
1041,alphaski,1
1042,lori,1
1043,iris/true,1
1044,red/bright,1
1045,breathelux,1
1046,carved,1
1047,streaker,3
1048,blue/full,2
1049,shift,1
1050,packable,1
1051,(yellow,1
1052,green(green,1
1053,tint/green,1
1054,"tint),",1
1055,michelle,1
1056,"shirt,",1
1057,pant7,2
1058,striped,1
1059,salmon,2
1060,sequin,3
1061,breast,3
1062,petals,3
1063,eb3668,1
1064,lc,2
1065,4xl,1
1066,organza,1
1067,strapless,5
1068,self,1
1069,invisible,5
1070,reusable,5
1071,bobysuits,3
1072,"women,black",2
1073,everyday,1
1074,adjustable,2
1075,loseweight,1
1076,"shaper,black",1
1077,loungeable,1
1078,aimer,1
1079,korean,1
1080,style,1
1081,gartered,8
1082,size-red,1
1083,+,1
1084,4pcs,1
1085,ladies,2
1086,nighty,1
1087,pad,1
1088,hummel,1
1089,fz,3
1090,"flc,",2
1091,essential,1
1092,gx,2
1093,"bq7964-100,",1
1094,snap,1
1095,romper,1
1096,own,3
1097,cooler,2
1098,"blue/heather),",2
1099,nkaj8673-121,1
